//Left Ear
2, -1, 7, 1, 0.5, 0,
2, -1, 5, 1, 0.5, 0,
3, -1, 5, 1, 0.5, 0,
//
//Right Ear
8, -1, 7, 1, 0.5, 0,
8, -1, 5, 1, 0.5, 0,
7, -1, 5, 1, 0.5, 0,
//
//
//Right Side of Face
2, -1, 5, 1, 0.5, 0,
3, -1, 5, 1, 0.5, 0,
2, -1, 4, 1, 0.5, 0,
//
3, -1, 5, 1, 0.5, 0,
2, -1, 4, 1, 0.5, 0,
3, -1, 2, 1, 0.5, 0,
//
//
//Left Side of Face
7, -1, 5, 1, 0.5, 0,
8, -1, 5, 1, 0.5, 0,
8, -1, 4, 1, 0.5, 0,
//
7, -1, 5, 1, 0.5, 0,
8, -1, 4, 1, 0.5, 0,
7, -1, 2, 1, 0.5, 0,
//
//Chin
3, -1, 2, 1, 0.5, 0,
7, -1, 2, 1, 0.5, 0,
5, -1, 0, 1, 0.5, 0,
//
//
